aperture           f1       f2_source   f2_slit   f2_numeric     fwhm    sigma   fwhm_refined
85.1  5  23.0547  24.5441  23.0879  3.91  19.4443    5.08319
85.1  6  22.9901  24.4932  23.0879  5.474  18.3379    5.08319
85.1  7  22.922  24.4366  22.7582  5.474  17.328    5.86522
85.1  8  22.8502  24.3733  22.7582  5.474  16.0802    5.86522
85.1  9  22.7742  24.302  22.7582  5.474  15.9837    5.86522
85.1  10  22.6937  24.221  22.7582  5.474  15.8506    5.86522
85.1  11  22.6084  24.1283  22.4286  5.474  14.4099    6.64725
85.1  12  22.5176  24.0211  22.4286  5.474  12.9122    6.64725
85.1  13  22.4211  23.8957  22.4286  7.038  12.83    6.64725
85.1  14  22.318  23.7471  22.0989  7.038  11.9562    7.42928
85.1  15  22.2078  23.5681  22.0989  7.038  11.6676    7.42928
85.1  16  22.0897  23.3485  21.7692  8.602  11.9154    8.21131
85.1  17  21.9628  23.0725  21.7692  8.602  12.1765    9.77537
85.1  18  21.8261  22.7152  21.4396  10.166  12.8947    10.5574
85.1  19  21.6784  22.2347  21.4396  11.73  13.8752    12.5125
85.1  20  21.5183  21.5537  21.1099  13.294  14.8227    13.6855
85.1  21  21.3443  20.5138  21.1099  16.422  16.1624    16.0316
85.1  22  21.1543  18.7299  21.1099  17.986  17.559    18.3777
85.1  23  20.9461  14.9582  21.1099  19.55  18.9403    19.9418
85.1  24  20.717  1.69811  21.1099  21.114  20.2613    22.2879
85.1  25  20.4636  117.805  21.7692  22.678  21.3308    23.0699
85.1  26  20.1818  41.2033  22.0989  22.678  22.0648    23.8519
85.1  27  19.8667  34.0816  22.4286  24.242  22.461    23.8519
85.1  28  19.5118  31.4041  22.7582  24.242  22.5297    23.8519
85.1  29  19.1092  30  23.0879  23.46  22.3183    23.8519
85.1  30  18.6486  29.1354  23.0879  24.242  22.2543    23.8519
85.1  31  18.1165  28.5496  23.4176  23.46  22.0323    23.8519
85.1  32  17.4947  28.1263  23.4176  23.46  21.8347    23.8519
85.1  33  16.7586  27.8062  23.4176  22.678  21.6782    23.8519
85.1  34  15.8734  27.5557  23.7473  23.46  21.0702    23.8519
85.1  35  14.7887  27.3542  23.7473  22.678  20.8535    23.8519
85.1  36  13.4286  27.1888  23.7473  22.678  20.6117    23.8519
85.1  37  11.6727  27.0504  23.7473  22.678  20.4978    23.0699
85.1  38  9.31915  26.933  23.7473  22.678  20.1937    23.0699
85.1  39  6  26.8321  23.7473  22.678  20.014    23.0699
85.1  40  0.967742  26.7445  23.7473  22.678  19.969    23.0699
85.1  41  nan  26.6677  29.022  21.114  18.1177    22.2879
85.1  42  nan  26.5998  28.3626  21.114  17.2086    21.5058
85.1  43  nan  26.5394  28.033  21.114  16.6377    21.5058
85.1  44  786  26.4853  27.7033  21.114  15.9691    22.2879
85.1  45  110  26.4365  27.7033  17.986  16.1489    18.7687
85.1  46  70.2353  26.3924  27.7033  16.422  16.1021    17.5957
85.1  47  55.92  26.3522  27.3736  16.422  15.335    17.2047
85.1  48  48.5455  26.3154  27.3736  16.422  15.3449    16.0316
85.1  49  44.0488  26.2818  27.3736  14.858  15.5659    16.0316
85.1  50  41.0204  26.2507  27.044  14.858  15.2386    15.2496
85.1  51  38.8421  26.2221  27.044  14.858  14.9745    14.4676
85.1  52  37.2  26.1956  27.044  14.076  14.9261    14.4676
85.1  53  35.9178  26.1709  27.044  14.858  15.0499    14.4676
85.1  54  34.8889  26.1479  26.7143  13.294  14.8683    13.6855
85.1  55  34.0449  26.1265  26.7143  13.294  14.7737    13.6855
85.1  56  33.3402  26.1064  26.7143  13.294  14.7252    12.9035
85.1  57  32.7429  26.0876  26.7143  13.294  14.7503    12.9035
85.1  58  32.2301  26.0699  26.7143  13.294  14.7249    12.9035
85.1  59  31.7851  26.0532  26.3846  13.294  14.3693    12.9035
85.1  60  31.3953  26.0375  26.3846  11.73  14.4217    12.1215
85.1  61  31.0511  26.0226  26.3846  11.73  14.5564    12.1215
85.1  62  30.7448  26.0086  26.3846  11.73  14.6356    12.1215
85.1  63  30.4706  25.9953  26.3846  11.73  14.5472    11.7304
85.1  64  30.2236  25.9827  26.3846  11.73  14.3346    11.7304
85.1  65  30  25.9707  26.3846  11.73  14.1713    11.7304
85.1  66  29.7966  25.9592  26.3846  11.73  14.208    12.1215
85.1  67  29.6108  25.9483  26.3846  11.73  14.4336    12.1215
85.1  68  29.4404  25.938  26.0549  11.73  14.5321    12.1215
85.1  69  29.2836  25.9281  26.0549  11.73  14.5461    11.3394
85.1  70  29.1388  25.9186  26.0549  10.948  14.4087    11.3394
85.1  71  29.0046  25.9095  26.0549  10.166  14.1892    11.3394
85.1  72  28.88  25.9009  26.0549  10.166  14.0088    10.9484
85.1  73  28.7639  25.8925  26.0549  10.166  13.9696    10.5574
85.1  74  28.6556  25.8846  26.0549  10.166  14.0947    10.5574
85.1  75  28.5542  25.8769  26.0549  10.166  14.3201    10.5574
85.1  76  28.4591  25.8695  26.0549  10.166  14.5374    10.5574
85.1  77  28.3698  25.8625  26.0549  10.166  14.6518    10.5574
85.1  78  28.2857  25.8557  26.0549  10.166  14.619    10.5574
85.1  79  28.2064  25.8491  26.0549  10.166  14.4552    10.5574
85.1  80  28.1315  25.8428  26.0549  10.166  14.2248    10.5574
85.1  81  28.0606  25.8367  26.0549  10.166  14.0147    10.5574
85.1  82  27.9934  25.8308  26.0549  10.166  13.9017    10.9484
85.1  83  27.9297  25.8251  25.7253  11.73  13.9377    11.3394
85.1  84  27.8692  25.8196  25.7253  10.166  14.0691    11.3394
85.1  85  27.8116  25.8143  25.7253  10.166  14.2767    11.3394
85.1  86  27.7567  25.8092  25.7253  10.166  14.4935    10.5574
85.1  87  27.7043  25.8042  25.7253  10.166  14.657    10.5574
85.1  88  27.6544  25.7994  25.7253  10.166  14.7262    10.5574
85.1  89  27.6066  25.7947  25.7253  10.166  14.6873    10.5574
85.1  90  27.561  25.7902  25.7253  10.166  14.5537    10.5574
85.1  91  27.5172  25.7858  25.7253  10.166  14.3596    10.5574
85.1  92  27.4753  25.7816  25.7253  10.166  14.1511    10.5574
85.1  93  27.4351  25.7774  25.7253  10.166  13.9758    10.5574
85.1  94  27.3965  25.7734  25.7253  10.166  13.8713    10.5574
85.1  95  27.3594  25.7695  25.7253  10.166  13.8579    10.5574
85.1  96  27.3237  25.7657  25.7253  10.166  13.9347    10.1664
85.1  97  27.2894  25.7621  25.7253  10.166  14.0824    10.1664
85.1  98  27.2564  25.7585  25.7253  10.166  14.27    10.1664
85.1  99  27.2245  25.755  25.7253  10.166  14.4629    10.1664
85.1  100  27.1938  25.7516  25.7253  10.166  14.6298    10.1664
